"Figure 2: Unemployment rates have been generally  falling for the last six years",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, January to March 1971 to June to August 2019",""
"",""
"Notes",""
"Unit","% of all economically active"
"",""
"Period","People","Men","Women"
"May-Jul 2005","4.7","5.1","4.2"
"Jun-Aug 2005","4.7","5.1","4.2"
"Jul-Sep 2005","4.7","5.1","4.3"
"Aug-Oct 2005","4.9","5.4","4.4"
"Sep-Nov 2005","5.1","5.5","4.6"
"Oct-Dec 2005","5.1","5.6","4.6"
"Nov-Jan 2006","5.1","5.4","4.7"
"Dec-Feb 2006","5.2","5.5","4.8"
"Jan-Mar 2006","5.2","5.6","4.8"
"Feb-Apr 2006","5.3","5.7","4.9"
"Mar-May 2006","5.4","5.8","4.9"
"Apr-Jun 2006","5.5","5.8","5.1"
"May-Jul 2006","5.5","5.8","5.1"
"Jun-Aug 2006","5.5","5.8","5.1"
"Jul-Sep 2006","5.5","5.8","5.1"
"Aug-Oct 2006","5.5","5.8","5.1"
"Sep-Nov 2006","5.4","5.7","5.1"
"Oct-Dec 2006","5.5","5.8","5.2"
"Nov-Jan 2007","5.5","5.8","5.2"
"Dec-Feb 2007","5.5","5.8","5.2"
"Jan-Mar 2007","5.5","5.8","5.2"
"Feb-Apr 2007","5.5","5.8","5.1"
"Mar-May 2007","5.4","5.7","5.1"
"Apr-Jun 2007","5.4","5.6","5.0"
"May-Jul 2007","5.3","5.6","5.0"
"Jun-Aug 2007","5.3","5.6","5.0"
"Jul-Sep 2007","5.3","5.6","5.0"
"Aug-Oct 2007","5.2","5.5","5.0"
"Sep-Nov 2007","5.2","5.5","5.0"
"Oct-Dec 2007","5.2","5.4","4.9"
"Nov-Jan 2008","5.2","5.5","4.8"
"Dec-Feb 2008","5.2","5.5","4.8"
"Jan-Mar 2008","5.2","5.5","4.8"
"Feb-Apr 2008","5.3","5.6","5.0"
"Mar-May 2008","5.2","5.5","4.8"
"Apr-Jun 2008","5.4","5.8","4.9"
"May-Jul 2008","5.5","5.9","5.0"
"Jun-Aug 2008","5.7","6.2","5.2"
"Jul-Sep 2008","5.9","6.3","5.3"
"Aug-Oct 2008","6.0","6.5","5.4"
"Sep-Nov 2008","6.2","6.7","5.5"
"Oct-Dec 2008","6.4","7.0","5.6"
"Nov-Jan 2009","6.5","7.2","5.7"
"Dec-Feb 2009","6.7","7.5","5.9"
"Jan-Mar 2009","7.1","7.8","6.2"
"Feb-Apr 2009","7.3","8.1","6.3"
"Mar-May 2009","7.6","8.5","6.5"
"Apr-Jun 2009","7.8","8.8","6.6"
"May-Jul 2009","7.9","9.0","6.6"
"Jun-Aug 2009","7.9","9.0","6.5"
"Jul-Sep 2009","7.8","9.0","6.5"
"Aug-Oct 2009","7.9","9.0","6.6"
"Sep-Nov 2009","7.8","8.8","6.6"
"Oct-Dec 2009","7.8","8.8","6.6"
"Nov-Jan 2010","7.7","8.8","6.5"
"Dec-Feb 2010","7.9","9.0","6.7"
"Jan-Mar 2010","8.0","9.1","6.7"
"Feb-Apr 2010","8.0","9.0","6.7"
"Mar-May 2010","7.9","8.8","6.9"
"Apr-Jun 2010","7.9","8.7","6.9"
"May-Jul 2010","7.8","8.5","7.0"
"Jun-Aug 2010","7.8","8.4","7.0"
"Jul-Sep 2010","7.8","8.4","7.1"
"Aug-Oct 2010","7.9","8.5","7.2"
"Sep-Nov 2010","7.9","8.6","7.0"
"Oct-Dec 2010","7.9","8.5","7.1"
"Nov-Jan 2011","7.9","8.5","7.2"
"Dec-Feb 2011","7.8","8.4","7.1"
"Jan-Mar 2011","7.8","8.4","7.1"
"Feb-Apr 2011","7.7","8.3","7.0"
"Mar-May 2011","7.8","8.4","7.2"
"Apr-Jun 2011","7.9","8.5","7.3"
"May-Jul 2011","8.0","8.6","7.4"
"Jun-Aug 2011","8.2","8.8","7.5"
"Jul-Sep 2011","8.3","9.0","7.5"
"Aug-Oct 2011","8.4","9.0","7.6"
"Sep-Nov 2011","8.5","9.1","7.8"
"Oct-Dec 2011","8.4","9.0","7.7"
"Nov-Jan 2012","8.4","8.9","7.7"
"Dec-Feb 2012","8.3","8.8","7.7"
"Jan-Mar 2012","8.2","8.7","7.6"
"Feb-Apr 2012","8.2","8.7","7.6"
"Mar-May 2012","8.1","8.6","7.5"
"Apr-Jun 2012","8.0","8.4","7.5"
"May-Jul 2012","8.0","8.5","7.5"
"Jun-Aug 2012","7.9","8.3","7.4"
"Jul-Sep 2012","7.9","8.3","7.4"
"Aug-Oct 2012","7.9","8.3","7.4"
"Sep-Nov 2012","7.8","8.2","7.4"
"Oct-Dec 2012","7.8","8.2","7.4"
"Nov-Jan 2013","7.8","8.3","7.3"
"Dec-Feb 2013","8.0","8.4","7.5"
"Jan-Mar 2013","7.8","8.3","7.3"
"Feb-Apr 2013","7.8","8.2","7.3"
"Mar-May 2013","7.8","8.3","7.2"
"Apr-Jun 2013","7.7","8.3","7.1"
"May-Jul 2013","7.7","8.2","7.1"
"Jun-Aug 2013","7.7","8.1","7.2"
"Jul-Sep 2013","7.6","8.0","7.2"
"Aug-Oct 2013","7.4","7.7","7.0"
"Sep-Nov 2013","7.2","7.5","6.8"
"Oct-Dec 2013","7.2","7.6","6.8"
"Nov-Jan 2014","7.2","7.4","6.9"
"Dec-Feb 2014","6.9","7.2","6.5"
"Jan-Mar 2014","6.8","7.0","6.4"
"Feb-Apr 2014","6.6","6.9","6.3"
"Mar-May 2014","6.4","6.6","6.2"
"Apr-Jun 2014","6.3","6.5","6.0"
"May-Jul 2014","6.1","6.4","5.8"
"Jun-Aug 2014","6.0","6.3","5.7"
"Jul-Sep 2014","6.0","6.2","5.7"
"Aug-Oct 2014","6.0","6.2","5.7"
"Sep-Nov 2014","5.9","6.1","5.6"
"Oct-Dec 2014","5.7","6.0","5.4"
"Nov-Jan 2015","5.7","5.9","5.4"
"Dec-Feb 2015","5.6","5.8","5.4"
"Jan-Mar 2015","5.5","5.7","5.3"
"Feb-Apr 2015","5.5","5.7","5.2"
"Mar-May 2015","5.6","5.8","5.5"
"Apr-Jun 2015","5.6","5.8","5.4"
"May-Jul 2015","5.5","5.6","5.4"
"Jun-Aug 2015","5.4","5.5","5.2"
"Jul-Sep 2015","5.3","5.5","5.2"
"Aug-Oct 2015","5.2","5.3","5.0"
"Sep-Nov 2015","5.1","5.2","4.9"
"Oct-Dec 2015","5.1","5.2","5.0"
"Nov-Jan 2016","5.1","5.2","4.9"
"Dec-Feb 2016","5.1","5.2","5.0"
"Jan-Mar 2016","5.1","5.1","5.0"
"Feb-Apr 2016","5.0","5.0","5.0"
"Mar-May 2016","4.9","5.1","4.8"
"Apr-Jun 2016","4.9","5.0","4.8"
